"GridID","area","ORIGFID","Depth","DistCoast","x.pos","y.pos","impact"
132092,0.25,325,-16.02,17637,438805.73,6139265.76,0
133092,0.25,326,-15.78,17379,439305.73,6139265.76,0
134092,0.25,327,-15.6,17055,439805.73,6139265.76,0
135092,0.25,328,-15.52,16732,440305.73,6139265.76,0
136092,0.25,329,-15.46,16410,440805.73,6139265.76,0
137092,0.25,330,-15.32,16065,441305.73,6139265.76,0
138092,0.25,331,-15.06,15722,441805.73,6139265.76,0
139092,0.25,332,-14.63,15387,442305.73,6139265.76,0
140092,0.25,333,-14.2,15055,442805.73,6139265.76,0
141092,0.25,334,-13.9,14722,443305.73,6139265.76,0
142092,0.25,335,-13.73,14374,443805.73,6139265.76,0
143092,0.25,336,-13.65,14029,444305.73,6139265.76,0
144092,0.25,337,-13.56,13687,444805.73,6139265.76,0
145092,0.25,338,-13.56,13353,445305.73,6139265.76,0
78091,0.25,353,-25.66,34621,411805.73,6139765.76,0
79091,0.25,354,-25.6,34193,412305.73,6139765.76,0
80091,0.25,355,-25.55,33767,412805.73,6139765.76,0
81091,0.25,356,-25.5,33342,413305.73,6139765.76,0
82091,0.25,357,-25.43,32920,413805.73,6139765.76,0
83091,0.25,358,-25.33,32500,414305.73,6139765.76,0
84091,0.25,359,-25.21,32083,414805.73,6139765.76,0
85091,0.25,360,-25.09,31668,415305.73,6139765.76,0
86091,0.25,361,-24.98,31255,415805.73,6139765.76,0
87091,0.25,362,-24.84,30845,416305.73,6139765.76,0
88091,0.25,363,-24.57,30437,416805.73,6139765.76,0
